,,,1. INBOUND TOURISM: Arrivals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World Tourism Organization (2023), UNWTO Tourism Statistics Database, Madrid, data updated on 24/11/2023. More information:
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.unwto.org/tourism-statistics/tourism-statistics-database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.1,24-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.2,24-1.2,,,,Overnights visitors (tourists),,Thousands,,TF,9,21,45,52,45,51,67,91,107,194,210,121,195,294,366,425,481,528,650,595,592,397,261,218,218,64,64,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.3,24-1.3,,,,Same-day visitors (excursionists),,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.4,24-1.4,,,,,"of which, cruise passengers",Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,0,660-0,ANGUILLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals,,,,,1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Excluding nationals residing abroad.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,1.1,660-1.1,,,Total arrivals,,,Thousands,,VF,107,86,114,114,107,112,105,111,109,121,143,167,164,128,112,118,124,129,151,177,186,176,151,87,166,41,29,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,1.2,660-1.2,,,,Overnights visitors (tourists),,Thousands,,TF,39,37,43,44,47,44,48,44,47,54,62,73,78,68,58,62,66,65,69,71,73,79,68,55,95,25,28,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,1.3,660-1.3,,,,Same-day visitors (excursionists),,Thousands,,,68,49,71,70,60,68,57,67,62,67,81,94,86,60,54,56,58,64,82,106,113,97,82,33,71,16,0.3,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,1.4,660-1.4,,,,,"of which, cruise passengers",Thousands,,,..,..,..,..,..,..,..,..,..,6,5,6,4,1,2,2,2,3,3,6,7,3,3,4,6,1,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0,28-0,ANTIGUA AND BARBUDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Excluding yacht passenger arrivals.
2/ Arrivals by air. Excluding nationals residing abroad.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.1,28-1.1,,,Total arrivals,,,Thousands,1/,VF,447,498,526,570,560,634,624,528,623,769,712,838,935,863,944,788,848,819,777,771,894,874,"1,040","1,064","1,035",276,250,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.2,28-1.2,,,,Overnights visitors (tourists),,Thousands,2/,TF,220,228,240,234,232,207,215,218,239,246,245,254,262,266,234,230,241,247,243,249,250,265,247,269,301,125,169,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.3,28-1.3,,,,Same-day visitors (excursionists),,Thousands,,,227,270,286,336,328,427,409,310,384,523,467,584,673,597,710,558,607,572,534,522,644,609,793,795,734,151,81,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.4,28-1.4,,,,,"of which, cruise passengers",Thousands,,,227,270,286,336,328,427,409,310,384,523,467,584,673,597,710,558,607,572,534,522,644,609,793,795,734,151,81,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0,32-0,ARGENTINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals,,,,,1/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Change of methodology from 2016. The data from 2010 to 2015 are the product of a statistical splice.  Data prior to 2010 are not comparable with those of the 2010-2019 series.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.1,32-1.1,,,Total arrivals,,,Thousands,,VF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"9,986","9,964","10,394","11,131","3,096",460,"7,503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.2,32-1.2,,,,Overnights visitors (tourists),,Thousands,,TF,"2,289","2,614","2,764","3,012","2,898","2,909","2,620","2,820","2,995","3,457","3,823","4,173","4,562","4,700","4,308","6,800","6,703","6,497","6,510","7,165","6,816","6,668","6,711","6,942","7,399","2,090",297,"3,890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.3,32-1.3,,,,Same-day visitors (excursionists),,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"3,318","3,253","3,452","3,732","1,007",163,"3,613",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.4,32-1.4,,,,,"of which, cruise passengers",Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0,51-0,ARMENIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1.1,51-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1.2,51-1.2,,,,Overnights visitors (tourists),,Thousands,,TF,12,13,23,32,41,45,123,162,206,263,319,382,511,558,575,684,758,963,"1,084","1,204","1,192","1,260","1,495","1,652","1,894",375,870,"1,666",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1.3,51-1.3,,,,Same-day visitors (excursionists),,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1.4,51-1.4,,,,,"of which, cruise passengers",Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,0,533-0,ARUBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Arrivals by air.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,1.1,533-1.1,,,Total arrivals,,,Thousands,,VF,912,957,947,906,972,"1,211","1,178","1,225","1,184","1,304","1,286","1,285","1,254","1,383","1,420","1,394","1,469","1,481","1,667","1,739","1,832","1,758","1,863","1,897","1,951",623,943,"1,711",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,1.2,533-1.2,,,,Overnights visitors (tourists),,Thousands,1/,TF,619,641,650,647,683,721,691,643,642,728,733,694,772,827,813,824,869,904,979,"1,072","1,225","1,102","1,071","1,082","1,119",368,807,"1,101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,1.3,533-1.3,,,,Same-day visitors (excursionists),,Thousands,,,293,316,297,259,289,490,487,582,542,576,553,591,482,556,607,570,600,577,688,667,607,656,792,815,832,255,136,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,1.4,533-1.4,,,,,"of which, cruise passengers",Thousands,,,293,316,297,259,289,490,487,582,542,576,553,591,482,556,607,570,600,577,688,667,607,656,792,815,832,255,136,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0,36-0,AUSTRALIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1/ Excluding nationals residing abroad and crew members.
2/ Arrivals by air.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.1,36-1.1,,,Total arrivals,,,Thousands,1/,VF,"3,726","4,165","4,318","4,167","4,459","4,931","4,856","4,841","4,746","5,215","5,499","5,532","5,644","5,586","5,490","5,790","5,771","6,032","6,482","6,922","7,449","8,269","8,815","9,246","9,466","1,828",246,"3,694",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.2,36-1.2,,,,Overnights visitors (tourists),,Thousands,2/,TF,..,..,..,"3,825","4,109","4,530","4,435","4,420","4,354","4,774","5,020","5,064",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.3,36-1.3,,,,Same-day visitors (excursionists),,Thousands,,,..,..,..,342,34,37,41,43,30,23,26,35,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.4,36-1.4,,,,,"of which, cruise passengers",Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0,40-0,AUSTRIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Only paid accommodation; excluding stays at friends and relatives and second homes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.1,40-1.1,,,Total arrivals,,,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.2,40-1.2,,,,Overnights visitors (tourists),,Thousands,1/,TCE,"17,173","17,090","16,647","17,352","17,467","17,982","18,180","18,611","19,078","19,374","19,952","20,269","20,773","21,935","21,355","22,004","23,012","24,151","24,813","25,291","26,728","28,121","29,460","30,816","31,884","15,091","12,728","26,215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.3,40-1.3,,,,Same-day visitors (excursionists),,Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.4,40-1.4,,,,,"of which, cruise passengers",Thousands,,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,31-0,AZERBAIJAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Arrivals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
